school;kess_index;gps
Adolph-Diesterweg-Schule;2
Adolph-Schönfelder-Schule;4
Christliche Stadtteilschule Bergedorf ;4;53.48306808196798, 10.20062156949158
ahfs Christliches Gymnasium Uhlenhorst;4;53.5731978948759, 10.028666429017813
Albert-Schweitzer-Gymnasium;5
Albert-Schweitzer-Schule;5
Albrecht-Thaer-Gymnasium;5
Alexander-von-Humboldt-Gymnasium;4
Anton-Rée-Schule Allermöhe ;2;53.48223166880839, 10.174240027163421
Aueschule Finkenwerder;3
August-Hermann-Francke-Schule Bahrenfeld;4;53.56196527360909, 9.907684240658243
August-Hermann-Francke-Schule Bergedorf;4
August-Hermann-Francke-Schule Berne;5
August-Hermann-Francke-Schule Farmsen;4
August-Hermann-Francke-Schule Uhlenhorst;5;53.5737414554228, 10.02871698484718
Brüder-Grimm-Schule;2
Bugenhagen-Schule Alsterdorf (Grundschule);5;53.61620686524826, 10.026768740659987
Bugenhagen-Schule Alsterdorf (Stadtteilschule);5
Bugenhagen-Schule Groß Flottbek;5
Bugenhagen-Schule Hamm;5
Bugenhagen-Schule im Hessepark (Grundschule);5
Bugenhagen-Schule im Hessepark (Stadtteilschule);5
Bugenhagen-Schule Ottensen;5
Carl-Cohn-Schule;5
Carl-Götze-Schule;5
Carl-von-Ossietzky-Gymnasium;5
Charlotte-Paulsen-Gymnasium;4
Christianeum;6
Clara-Grunwald-Schule;1
Demokratische Schule FLeKS;2;53.514309013008, 9.984350840656681
Deutsch-Französisches Gymnasium;5
Domschule St. Marien (Grundschule);3;53.55782706444379, 10.01443507134546
Domschule St. Marien (Stadtteilschule);3;53.55792266006135, 10.014381427165837
Elbinselschule;2
Elbkinder Grundschule;6
Emil Krause Schule;2
Emilie-Wüstenfeld-Gymnasium;5
Erich Kästner Schule;3
Franz-von-Assisi-Schule;3
Fridtjof-Nansen-Schule;2
Friedrich-Ebert-Gymnasium;3
Fritz-Köhne-Schule;1
Fritz-Schumacher-Schule;4
Ganztagsgrundschule Am Johannisland;2
Ganztagsgrundschule Sternschanze;4
Ganztagsschule an der Elbe;2
Ganztagsschule Fährstraße;1
Gelehrtenschule des Johanneums;6
Georg-Kerschensteiner-Grundschule;2
Geschwister-Scholl-Stadtteilschule;1
Goethe-Gymnasium;3
Schule Bandwirkerstraße;2
Schule Barlsheide;1
Schule Beim Pachthof;1
Schule Bekassinenau;4
Schule Bergstedt;5
Schule Bonhoefferstraße;2
Schule Bovestraße;5
Schule Brehmweg;4
Schule Brockdorffstraße;4
Schule Buckhorn;5
Schule Burgunderweg;5
Schule Charlottenburger Straße;1
Schule Cranz;2
Schule Curslack-Neuengamme;5
Schule Dempwolffstraße;2
Schule Döhrnstraße;5
Schule Duvenstedter Markt;5
Schule Eberhofweg;3
Schule Eduardstraße;4
Schule Eenstock;3
Schule Ernst-Henning-Straße;3
Schule Eulenkrugstraße;5
Schule Fahrenkrön;5
Schule Forsmannstraße;5
Schule Friedrich-Frank-Bogen;1
Schule Frohmestraße;5
Schule Fuchsbergredder;2
Schule Fünfhausen-Warwisch;5
Schule Furtweg;3
Schule Genslerstraße;4
Schule Grumbrechtstraße;2
Schule Grützmühlenweg;5
Schule Hasselbrook;4
Schule Heidacker;4
Schule Hinsbleek;5
